symbol,companyName,sector,industry,mcap_tier,marketCap_B,beta,close_today,ret_1D,ret_3D,ret_1W,dollar_vol_M
SHOP,Shopify Inc.,Technology,Software - Application,L1 · Mega ≥$100B,149.27,2.644,112.94,-3.48,-4.86,5.95,835.1
RBRK,"Rubrik, Inc.",Technology,Software - Infrastructure,L3 · Mid $5B-$30B,14.22,0.628,79.46,-3.49,1.06,20.74,398.2
WIX,Wix.com Ltd.,Technology,Software - Infrastructure,L4 · Small $1B-$5B,2.9,1.007,55.08,-3.49,-1.75,3.03,80.0
FLYW,Flywire Corporation,Technology,Information Technology Services,L4 · Small $1B-$5B,1.93,1.3,14.61,-3.5,-8.92,-7.59,45.5
BOX,"Box, Inc.",Technology,Software - Application,L4 · Small $1B-$5B,3.5,1.414,26.69,-3.51,-1.0,8.19,49.0
FWONA,Formula One Group,Communication Services,Entertainment,L3 · Mid $5B-$30B,20.9,0.669,79.73,-3.51,-5.06,-3.88,14.9
ARLO,"Arlo Technologies, Inc.",Industrials,Security & Protection Services,L4 · Small $1B-$5B,1.44,1.595,12.9,-3.52,-3.3,-2.35,13.0
ARXS,"Arxis, Inc. Class A Common Stock",Industrials,Aerospace & Defense,L4 · Small $1B-$5B,1.9,,41.33,-3.52,-8.01,3.97,41.3
GRVY,"Gravity Co., Ltd.",Technology,Electronic Gaming & Multimedia,L5 · Micro <$1B,0.44,0.987,62.2,-3.55,-3.31,-0.72,3.0
CMBT,Cmb.Tech N.V.,Industrials,Marine Shipping,L4 · Small $1B-$5B,3.56,0.123,14.81,-3.58,-4.27,-5.97,22.2
EMBJ,Embraer S.A.,Industrials,Aerospace & Defense,L3 · Mid $5B-$30B,10.72,0.816,55.2,-3.61,-4.42,-4.94,99.3
NVDA,NVIDIA Corporation,Technology,Semiconductors,L1 · Mega ≥$100B,5189.35,2.244,214.75,-3.62,1.71,1.01,32244.2
WIT,Wipro Limited,Technology,Information Technology Services,L3 · Mid $5B-$30B,25.48,0.374,2.13,-3.62,-9.75,3.9,10.0
